
Processing window: filtered_7_days
Loading fine-tuned FinBERT model for filtered_7_days from finbert_output_7_days...
Epoch 313/500, Loss: 12.9598
Epoch 314/500, Loss: 13.0300
Epoch 315/500, Loss: 13.0888
Epoch 316/500, Loss: 13.2568
Epoch 317/500, Loss: 12.9326
Epoch 318/500, Loss: 13.2212
Epoch 319/500, Loss: 13.3325
Epoch 320/500, Loss: 13.1075
Epoch 321/500, Loss: 13.1144
Epoch 322/500, Loss: 12.9925
Epoch 323/500, Loss: 13.0769
Epoch 324/500, Loss: 13.2330
Epoch 325/500, Loss: 12.9211
Epoch 326/500, Loss: 12.9485
Epoch 327/500, Loss: 12.9190
Epoch 328/500, Loss: 13.1433
Epoch 329/500, Loss: 13.0015
Epoch 330/500, Loss: 12.8124
Epoch 331/500, Loss: 13.1078
Epoch 332/500, Loss: 13.0930
Epoch 333/500, Loss: 13.0885
Epoch 334/500, Loss: 13.0680
Epoch 335/500, Loss: 12.9406
Epoch 336/500, Loss: 13.0751
Epoch 337/500, Loss: 13.2947
Epoch 338/500, Loss: 13.0246
Epoch 339/500, Loss: 13.0725
Epoch 340/500, Loss: 12.8584
Epoch 341/500, Loss: 12.9008
Epoch 342/500, Loss: 13.1867
Epoch 343/500, Loss: 12.9330
Epoch 344/500, Loss: 13.3705
Epoch 345/500, Loss: 13.1707
Epoch 346/500, Loss: 13.3077
Epoch 347/500, Loss: 13.1705
Epoch 348/500, Loss: 13.0643
Epoch 349/500, Loss: 13.2208
Epoch 350/500, Loss: 12.9786
Epoch 351/500, Loss: 12.8297
Epoch 352/500, Loss: 13.0746
Epoch 353/500, Loss: 13.0032
Epoch 354/500, Loss: 13.1052
Epoch 355/500, Loss: 12.9962
Epoch 356/500, Loss: 13.2840
Epoch 357/500, Loss: 13.0087
Epoch 358/500, Loss: 13.0706
Epoch 359/500, Loss: 13.0468
Epoch 360/500, Loss: 12.9967
Epoch 361/500, Loss: 13.1290
Epoch 362/500, Loss: 13.0604
