Embedding data shape: (3079, 768)
Epoch 373/1000, Loss: 11.8758
Epoch 374/1000, Loss: 11.9122
Epoch 375/1000, Loss: 11.9144
Epoch 376/1000, Loss: 11.9208
Epoch 377/1000, Loss: 11.9595
Epoch 378/1000, Loss: 11.9208
Epoch 379/1000, Loss: 11.9100
Epoch 380/1000, Loss: 11.8890
Epoch 381/1000, Loss: 11.8916
Epoch 382/1000, Loss: 11.9241
Epoch 383/1000, Loss: 11.8865
Epoch 384/1000, Loss: 11.9211
Epoch 385/1000, Loss: 11.8883
Epoch 386/1000, Loss: 11.8770
Epoch 387/1000, Loss: 11.9213
Epoch 388/1000, Loss: 11.8944
Epoch 389/1000, Loss: 11.9015
Epoch 390/1000, Loss: 11.9269
Epoch 391/1000, Loss: 11.8925
Epoch 392/1000, Loss: 11.9030
Epoch 393/1000, Loss: 11.9078
Epoch 394/1000, Loss: 11.8918
Epoch 395/1000, Loss: 11.8888
Epoch 396/1000, Loss: 11.8644
Epoch 397/1000, Loss: 11.9150
Epoch 398/1000, Loss: 11.8811
Epoch 399/1000, Loss: 11.8836
Epoch 400/1000, Loss: 11.8784
Epoch 401/1000, Loss: 11.9037
Epoch 402/1000, Loss: 11.9299
Epoch 403/1000, Loss: 11.8755
Epoch 404/1000, Loss: 11.9328
Epoch 405/1000, Loss: 11.8664
Epoch 406/1000, Loss: 11.9036
Epoch 407/1000, Loss: 11.8993
Epoch 408/1000, Loss: 11.9054
Epoch 409/1000, Loss: 11.9152
Epoch 410/1000, Loss: 11.8756
Epoch 411/1000, Loss: 11.8861
Epoch 412/1000, Loss: 11.9186
Epoch 413/1000, Loss: 11.8971
Epoch 414/1000, Loss: 11.8867
Epoch 415/1000, Loss: 11.8925
Epoch 416/1000, Loss: 11.9045
Epoch 417/1000, Loss: 11.8874
Epoch 418/1000, Loss: 11.9197
Epoch 419/1000, Loss: 11.8936
Epoch 420/1000, Loss: 11.9079
Epoch 421/1000, Loss: 11.9159
Epoch 422/1000, Loss: 11.8619
Epoch 423/1000, Loss: 11.8709
Epoch 424/1000, Loss: 11.9308
Epoch 425/1000, Loss: 11.9137
Epoch 426/1000, Loss: 11.9390
Epoch 427/1000, Loss: 11.9046
Epoch 428/1000, Loss: 11.8737
Epoch 429/1000, Loss: 11.9176
Epoch 430/1000, Loss: 11.8837
Epoch 431/1000, Loss: 11.8966
Epoch 432/1000, Loss: 11.9045
Epoch 433/1000, Loss: 11.8896
Epoch 434/1000, Loss: 11.8683
Epoch 435/1000, Loss: 11.8964
Epoch 436/1000, Loss: 11.9194
Epoch 437/1000, Loss: 11.8880
Epoch 438/1000, Loss: 11.8677
Epoch 439/1000, Loss: 11.9258
Epoch 440/1000, Loss: 11.8742
Epoch 441/1000, Loss: 11.9149
Epoch 442/1000, Loss: 11.8936
Epoch 443/1000, Loss: 11.9010
Epoch 444/1000, Loss: 11.8808
Epoch 445/1000, Loss: 11.9168
Epoch 446/1000, Loss: 11.9212
Epoch 447/1000, Loss: 11.8719
Epoch 448/1000, Loss: 11.8848
Epoch 449/1000, Loss: 11.8677
Epoch 450/1000, Loss: 11.8774
Epoch 451/1000, Loss: 11.8745
Epoch 452/1000, Loss: 11.8994
Epoch 453/1000, Loss: 11.8982
Epoch 454/1000, Loss: 11.8857
Epoch 455/1000, Loss: 11.9151
Epoch 456/1000, Loss: 11.9077
Epoch 457/1000, Loss: 11.9157
Epoch 458/1000, Loss: 11.8938
Epoch 459/1000, Loss: 11.9153
Epoch 460/1000, Loss: 11.9212
Epoch 461/1000, Loss: 11.8796
Epoch 462/1000, Loss: 11.9004
Epoch 463/1000, Loss: 11.8645
Epoch 464/1000, Loss: 11.8883
Epoch 465/1000, Loss: 11.8931
Epoch 466/1000, Loss: 11.9192
Epoch 467/1000, Loss: 11.8802
Epoch 468/1000, Loss: 11.8863
Epoch 469/1000, Loss: 11.8826
Epoch 470/1000, Loss: 11.9224
Epoch 471/1000, Loss: 11.8965
Epoch 472/1000, Loss: 11.9044
Epoch 473/1000, Loss: 11.9192
Epoch 474/1000, Loss: 11.9027
Epoch 475/1000, Loss: 11.8725
Epoch 476/1000, Loss: 11.9130
Epoch 477/1000, Loss: 11.8855
Epoch 478/1000, Loss: 11.9231
Epoch 479/1000, Loss: 11.8764
Epoch 480/1000, Loss: 11.9045
Epoch 481/1000, Loss: 11.9130
Epoch 482/1000, Loss: 11.9010
Epoch 483/1000, Loss: 11.8882
Epoch 484/1000, Loss: 11.8724
Epoch 485/1000, Loss: 11.9229
Epoch 486/1000, Loss: 11.9099
